Orig Order,GeoType,Borough,GeoID,Name,NTA Type,BNH_10,BNH_20,Pop Change,Natural Change,Net Migration
1,NYC,New York City,0,NYC (adjusted for citywide total population in 2010),,"1,861,295","1,776,891","-84,404","87,308","-171,712"
2,Boro,Manhattan,1,Manhattan,,"205,340","199,592","-5,748","-1,153","-4,595"
3,Boro,Bronx,2,Bronx,,"416,695","419,393","2,698","29,364","-26,666"
4,Boro,Brooklyn,3,Brooklyn,,"799,066","729,696","-69,370","39,815","-109,185"
5,Boro,Queens,4,Queens,,"395,881","381,375","-14,506","15,628","-30,134"
6,Boro,Staten Island,5,Staten Island,,"44,313","46,835","2,522","3,824","-1,302"
7,NTA2020,Brooklyn,BK0101,Greenpoint,0,433,"1,025",592,18,574
8,NTA2020,Brooklyn,BK0102,Williamsburg,0,"1,393","2,340",947,100,847
9,NTA2020,Brooklyn,BK0103,South Williamsburg,0,913,"1,217",304,57,247
10,NTA2020,Brooklyn,BK0104,East Williamsburg,0,"6,243","6,110",-133,-39,-94
11,NTA2020,Brooklyn,BK0201,Brooklyn Heights,0,"1,259",886,-373,-62,-311
12,NTA2020,Brooklyn,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,0,"5,099","5,905",806,120,686
13,NTA2020,Brooklyn,BK0203,Fort Greene,0,"11,108","9,896","-1,212",-13,"-1,199"
14,NTA2020,Brooklyn,BK0204,Clinton Hill,0,"9,606","7,574","-2,032",-549,"-1,483"
15,NTA2020,Brooklyn,BK0261,Brooklyn Navy Yard,6,0,0,0,0,0
16,NTA2020,Brooklyn,BK0301,Bedford-Stuyvesant (West),0,"41,307","30,805","-10,502",640,"-11,142"
17,NTA2020,Brooklyn,BK0302,Bedford-Stuyvesant (East),0,"57,133","45,584","-11,549","1,487","-13,036"
18,NTA2020,Brooklyn,BK0401,Bushwick (West),0,"3,611","4,054",443,137,306
19,NTA2020,Brooklyn,BK0402,Bushwick (East),0,"19,075","14,109","-4,966",534,"-5,500"
20,NTA2020,Brooklyn,BK0471,The Evergreens Cemetery,7,2,0,-2,-1,-1
21,NTA2020,Brooklyn,BK0501,Cypress Hills,0,"8,106","6,989","-1,117",493,"-1,610"
22,NTA2020,Brooklyn,BK0502,East New York (North),0,"22,974","21,181","-1,793","1,824","-3,617"
23,NTA2020,Brooklyn,BK0503,East New York-New Lots,0,"36,212","36,530",318,"2,668","-2,350"
24,NTA2020,Brooklyn,BK0504,Spring Creek-Starrett City,0,"7,306","9,873","2,567",9,"2,558"
25,NTA2020,Brooklyn,BK0505,East New York-City Line,0,"20,554","18,506","-2,048","1,640","-3,688"
26,NTA2020,Brooklyn,BK0571,Highland Park-Cypress Hills Cemeteries (South),7,5,0,-5,0,-5
27,NTA2020,Brooklyn,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,0,"7,676","7,280",-396,199,-595
28,NTA2020,Brooklyn,BK0602,Park Slope,0,"3,671","3,363",-308,-53,-255
29,NTA2020,Brooklyn,BK0701,Windsor Terrace-South Slope,0,"1,124",876,-248,20,-268
30,NTA2020,Brooklyn,BK0702,Sunset Park (West),0,"2,056","2,740",684,107,577
31,NTA2020,Brooklyn,BK0703,Sunset Park (Central),0,547,610,63,39,24
32,NTA2020,Brooklyn,BK0771,Green-Wood Cemetery,7,0,0,0,0,0
33,NTA2020,Brooklyn,BK0801,Prospect Heights,0,"5,979","4,520","-1,459",-81,"-1,378"
34,NTA2020,Brooklyn,BK0802,Crown Heights (North),0,"57,179","45,217","-11,962","1,757","-13,719"
35,NTA2020,Brooklyn,BK0891,Lincoln Terrace Park,9,0,3,3,0,3
36,NTA2020,Brooklyn,BK0901,Crown Heights (South),0,"31,695","24,907","-6,788","1,145","-7,933"
37,NTA2020,Brooklyn,BK0902,Prospect Lefferts Gardens-Wingate,0,"33,471","26,859","-6,612",698,"-7,310"
38,NTA2020,Brooklyn,BK1001,Bay Ridge,0,"1,293","1,840",547,194,353
39,NTA2020,Brooklyn,BK1002,Dyker Heights,0,200,357,157,57,100
40,NTA2020,Brooklyn,BK1061,Fort Hamilton,6,188,105,-83,21,-104
41,NTA2020,Brooklyn,BK1091,Dyker Beach Park,9,0,0,0,0,0
42,NTA2020,Brooklyn,BK1101,Bensonhurst,0,609,"1,078",469,107,362
43,NTA2020,Brooklyn,BK1102,Bath Beach,0,273,443,170,66,104
44,NTA2020,Brooklyn,BK1103,Gravesend (West),0,472,841,369,60,309
45,NTA2020,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),0,657,641,-16,51,-67
46,NTA2020,Brooklyn,BK1202,Borough Park,0,480,804,324,43,281
47,NTA2020,Brooklyn,BK1203,Kensington,0,"2,947","2,753",-194,104,-298
48,NTA2020,Brooklyn,BK1204,Mapleton-Midwood (West),0,304,632,328,42,286
49,NTA2020,Brooklyn,BK1301,Gravesend (South),0,"2,438","2,566",128,199,-71
50,NTA2020,Brooklyn,BK1302,Coney Island-Sea Gate,0,"10,651","10,144",-507,608,"-1,115"
51,NTA2020,Brooklyn,BK1303,Brighton Beach,0,340,429,89,-1,90
52,NTA2020,Brooklyn,BK1391,Calvert Vaux Park,9,0,0,0,0,0
53,NTA2020,Brooklyn,BK1401,Flatbush,0,"44,926","35,895","-9,031","2,874","-11,905"
54,NTA2020,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,0,"9,605","7,702","-1,903",413,"-2,316"
55,NTA2020,Brooklyn,BK1403,Midwood,0,"2,470","2,833",363,190,173
56,NTA2020,Brooklyn,BK1501,Gravesend (East)-Homecrest,0,477,767,290,72,218
57,NTA2020,Brooklyn,BK1502,Madison,0,630,"1,228",598,89,509
58,NTA2020,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,0,"4,161","4,615",454,379,75
59,NTA2020,Brooklyn,BK1601,Ocean Hill,0,"24,825","24,567",-258,"1,653","-1,911"
60,NTA2020,Brooklyn,BK1602,Brownsville,0,"41,171","41,736",565,"3,150","-2,585"
61,NTA2020,Brooklyn,BK1701,East Flatbush-Erasmus,0,"39,027","34,050","-4,977","2,587","-7,564"
62,NTA2020,Brooklyn,BK1702,East Flatbush-Farragut,0,"29,433","27,126","-2,307","1,599","-3,906"
63,NTA2020,Brooklyn,BK1703,East Flatbush-Rugby,0,"35,884","34,671","-1,213","1,760","-2,973"
64,NTA2020,Brooklyn,BK1704,East Flatbush-Remsen Village,0,"34,126","31,983","-2,143","2,221","-4,364"
65,NTA2020,Brooklyn,BK1771,Holy Cross Cemetery,7,27,19,-8,0,-8
66,NTA2020,Brooklyn,BK1801,Flatlands,0,"42,935","43,053",118,"2,638","-2,520"
67,NTA2020,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,0,"4,952","6,271","1,319",532,787
68,NTA2020,Brooklyn,BK1803,Canarsie,0,"67,816","71,576","3,760","5,214","-1,454"
69,NTA2020,Brooklyn,BK1891,Marine Park-Plumb Island,9,0,0,0,0,0
70,NTA2020,Brooklyn,BK1892,McGuire Fields,9,0,0,0,0,0
71,NTA2020,Brooklyn,BK1893,Canarsie Park & Pier,9,0,0,0,1,-1
72,NTA2020,Brooklyn,BK5591,Prospect Park,9,0,7,7,-2,9
73,NTA2020,Brooklyn,BK5691,Barren Island-Floyd Bennett Field,9,12,5,-7,0,-7
74,NTA2020,Brooklyn,BK5692,Jamaica Bay (West),9,0,0,0,0,0
75,NTA2020,Brooklyn,BK5693,Shirley Chisholm State Park,9,0,0,0,0,0
76,NTA2020,Bronx,BX0101,Mott Haven-Port Morris,0,"12,927","15,455","2,528","1,576",952
77,NTA2020,Bronx,BX0102,Melrose,0,"10,787","12,111","1,324","1,331",-7
78,NTA2020,Bronx,BX0201,Hunts Point,0,"3,676","3,752",76,472,-396
79,NTA2020,Bronx,BX0202,Longwood,0,"8,239","9,608","1,369","1,187",182
80,NTA2020,Bronx,BX0291,North & South Brother Islands,9,0,0,0,0,0
81,NTA2020,Bronx,BX0301,Morrisania,0,"12,424","15,107","2,683","1,395","1,288"
82,NTA2020,Bronx,BX0302,Claremont Village-Claremont (East),0,"10,285","10,938",653,"1,279",-626
83,NTA2020,Bronx,BX0303,Crotona Park East,0,"8,452","9,873","1,421",946,475
84,NTA2020,Bronx,BX0391,Crotona Park,9,0,10,10,3,7
85,NTA2020,Bronx,BX0401,Concourse-Concourse Village,0,"23,740","22,108","-1,632","1,430","-3,062"
86,NTA2020,Bronx,BX0402,Highbridge,0,"10,006","9,444",-562,917,"-1,479"
87,NTA2020,Bronx,BX0403,Mount Eden-Claremont (West),0,"13,440","12,221","-1,219","1,505","-2,724"
88,NTA2020,Bronx,BX0491,Yankee Stadium-Macombs Dam Park,9,0,4,4,0,4
89,NTA2020,Bronx,BX0492,Claremont Park,9,0,7,7,-3,10
90,NTA2020,Bronx,BX0501,University Heights (South)-Morris Heights,0,"16,829","15,403","-1,426","1,209","-2,635"
91,NTA2020,Bronx,BX0502,Mount Hope,0,"12,410","13,375",965,"1,662",-697
92,NTA2020,Bronx,BX0503,Fordham Heights,0,"8,026","7,100",-926,875,"-1,801"
93,NTA2020,Bronx,BX0601,West Farms,0,"4,178","5,020",842,418,424
94,NTA2020,Bronx,BX0602,Tremont,0,"10,054","10,618",564,965,-401
95,NTA2020,Bronx,BX0603,Belmont,0,"7,206","7,443",237,816,-579
96,NTA2020,Bronx,BX0701,University Heights (North)-Fordham,0,"8,224","7,348",-876,57,-933
97,NTA2020,Bronx,BX0702,Bedford Park,0,"10,356","10,310",-46,"1,000","-1,046"
98,NTA2020,Bronx,BX0703,Norwood,0,"7,262","6,437",-825,398,"-1,223"
99,NTA2020,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,0,"4,698","4,284",-414,38,-452
100,NTA2020,Bronx,BX0802,Kingsbridge-Marble Hill,0,"3,402","2,872",-530,20,-550
101,NTA2020,Bronx,BX0803,Riverdale-Spuyten Duyvil,0,"3,307","4,074",767,-365,"1,132"
102,NTA2020,Bronx,BX0901,Soundview-Bruckner-Bronx River,0,"20,546","18,855","-1,691","1,291","-2,982"
103,NTA2020,Bronx,BX0902,Soundview-Clason Point,0,"11,159","11,140",-19,376,-395
104,NTA2020,Bronx,BX0903,Castle Hill-Unionport,0,"8,351","8,481",130,470,-340
105,NTA2020,Bronx,BX0904,Parkchester,0,"12,765","11,788",-977,615,"-1,592"
106,NTA2020,Bronx,BX0991,Soundview Park,9,0,0,0,0,0
107,NTA2020,Bronx,BX1001,Westchester Square,0,"1,642","1,769",127,130,-3
108,NTA2020,Bronx,BX1002,Throgs Neck-Schuylerville,0,"3,479","4,486","1,007",246,761
109,NTA2020,Bronx,BX1003,Pelham Bay-Country Club-City Island,0,773,"1,660",887,87,800
110,NTA2020,Bronx,BX1004,Co-op City,0,"21,056","23,389","2,333",-463,"2,796"
111,NTA2020,Bronx,BX1071,Hart Island,7,0,0,0,0,0
112,NTA2020,Bronx,BX1091,Ferry Point Park-St. Raymond Cemetery,9,0,0,0,-1,1
113,NTA2020,Bronx,BX1101,Pelham Parkway-Van Nest,0,"4,501","4,728",227,542,-315
114,NTA2020,Bronx,BX1102,Morris Park,0,"1,322","1,675",353,26,327
115,NTA2020,Bronx,BX1103,Pelham Gardens,0,"8,532","8,951",419,-19,438
116,NTA2020,Bronx,BX1104,Allerton,0,"9,975","9,518",-457,522,-979
117,NTA2020,Bronx,BX1161,Hutchinson Metro Center,6,276,93,-183,-25,-158
118,NTA2020,Bronx,BX1201,Williamsbridge-Olinville,0,"36,752","37,033",281,"2,851","-2,570"
119,NTA2020,Bronx,BX1202,Eastchester-Edenwald-Baychester,0,"35,102","35,061",-41,"1,804","-1,845"
