Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Hsp_10,Hsp_20,Pop Change,Natural Change,Net Migration
1,NYC,New York City,0,NYC (adjusted for citywide total population in 2010),,"2,336,076","2,490,350","154,274","242,213","-87,939"
2,Boro,Manhattan,1,Manhattan,,"403,577","402,640",-937,"24,328","-25,265"
3,Boro,Bronx,2,Bronx,,"741,413","806,463","65,050","84,961","-19,911"
4,Boro,Brooklyn,3,Brooklyn,,"496,285","516,426","20,141","50,358","-30,217"
5,Boro,Queens,4,Queens,,"613,750","667,861","54,111","72,532","-18,421"
6,Boro,Staten Island,5,Staten Island,,"81,051","96,960","15,909","10,168","5,741"
7,NTA2020,Brooklyn,BK0101,Greenpoint,0,"5,099","6,007",908,317,591
8,NTA2020,Brooklyn,BK0102,Williamsburg,0,"17,268","17,012",-256,943,"-1,199"
9,NTA2020,Brooklyn,BK0103,South Williamsburg,0,"4,277","4,135",-142,96,-238
10,NTA2020,Brooklyn,BK0104,East Williamsburg,0,"20,364","18,322","-2,042",723,"-2,765"
11,NTA2020,Brooklyn,BK0201,Brooklyn Heights,0,"1,675","1,961",286,120,166
12,NTA2020,Brooklyn,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,0,"4,381","5,576","1,195",241,954
13,NTA2020,Brooklyn,BK0203,Fort Greene,0,"4,828","5,605",777,309,468
14,NTA2020,Brooklyn,BK0204,Clinton Hill,0,"2,973","3,464",491,196,295
15,NTA2020,Brooklyn,BK0261,Brooklyn Navy Yard,6,0,4,4,0,4
16,NTA2020,Brooklyn,BK0301,Bedford-Stuyvesant (West),0,"15,973","16,636",663,"1,373",-710
17,NTA2020,Brooklyn,BK0302,Bedford-Stuyvesant (East),0,"14,242","16,000","1,758","1,362",396
18,NTA2020,Brooklyn,BK0401,Bushwick (West),0,"38,469","31,063","-7,406","4,192","-11,598"
19,NTA2020,Brooklyn,BK0402,Bushwick (East),0,"35,139","30,562","-4,577","3,561","-8,138"
20,NTA2020,Brooklyn,BK0471,The Evergreens Cemetery,7,8,2,-6,-1,-5
21,NTA2020,Brooklyn,BK0501,Cypress Hills,0,"27,427","29,424","1,997","3,593","-1,596"
22,NTA2020,Brooklyn,BK0502,East New York (North),0,"14,211","16,225","2,014","1,638",376
23,NTA2020,Brooklyn,BK0503,East New York-New Lots,0,"9,755","11,517","1,762",811,951
24,NTA2020,Brooklyn,BK0504,Spring Creek-Starrett City,0,"2,431","3,344",913,-28,941
25,NTA2020,Brooklyn,BK0505,East New York-City Line,0,"13,352","13,370",18,"1,326","-1,308"
26,NTA2020,Brooklyn,BK0571,Highland Park-Cypress Hills Cemeteries (South),7,0,5,5,0,5
27,NTA2020,Brooklyn,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,0,"13,098","12,042","-1,056",541,"-1,597"
28,NTA2020,Brooklyn,BK0602,Park Slope,0,"6,780","6,701",-79,428,-507
29,NTA2020,Brooklyn,BK0701,Windsor Terrace-South Slope,0,"3,814","3,430",-384,230,-614
30,NTA2020,Brooklyn,BK0702,Sunset Park (West),0,"34,296","30,638","-3,658","3,506","-7,164"
31,NTA2020,Brooklyn,BK0703,Sunset Park (Central),0,"19,086","18,226",-860,"2,380","-3,240"
32,NTA2020,Brooklyn,BK0771,Green-Wood Cemetery,7,2,2,0,0,0
33,NTA2020,Brooklyn,BK0801,Prospect Heights,0,"2,275","2,445",170,155,15
34,NTA2020,Brooklyn,BK0802,Crown Heights (North),0,"9,248","11,732","2,484",784,"1,700"
35,NTA2020,Brooklyn,BK0891,Lincoln Terrace Park,9,0,7,7,0,7
36,NTA2020,Brooklyn,BK0901,Crown Heights (South),0,"4,507","4,997",490,287,203
37,NTA2020,Brooklyn,BK0902,Prospect Lefferts Gardens-Wingate,0,"4,438","5,266",828,183,645
38,NTA2020,Brooklyn,BK1001,Bay Ridge,0,"12,612","16,310","3,698","1,842","1,856"
39,NTA2020,Brooklyn,BK1002,Dyker Heights,0,"4,920","6,486","1,566",843,723
40,NTA2020,Brooklyn,BK1061,Fort Hamilton,6,244,189,-55,40,-95
41,NTA2020,Brooklyn,BK1091,Dyker Beach Park,9,0,2,2,0,2
42,NTA2020,Brooklyn,BK1101,Bensonhurst,0,"13,522","18,064","4,542","2,441","2,101"
43,NTA2020,Brooklyn,BK1102,Bath Beach,0,"3,894","4,695",801,718,83
44,NTA2020,Brooklyn,BK1103,Gravesend (West),0,"6,761","8,579","1,818","1,139",679
45,NTA2020,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),0,"7,564","7,533",-31,"1,088","-1,119"
46,NTA2020,Brooklyn,BK1202,Borough Park,0,"7,819","8,077",258,"1,188",-930
47,NTA2020,Brooklyn,BK1203,Kensington,0,"7,153","6,825",-328,797,"-1,125"
48,NTA2020,Brooklyn,BK1204,Mapleton-Midwood (West),0,"2,937","3,507",570,521,49
49,NTA2020,Brooklyn,BK1301,Gravesend (South),0,"3,764","4,626",862,382,480
50,NTA2020,Brooklyn,BK1302,Coney Island-Sea Gate,0,"8,768","8,588",-180,673,-853
51,NTA2020,Brooklyn,BK1303,Brighton Beach,0,"4,947","4,541",-406,762,"-1,168"
52,NTA2020,Brooklyn,BK1391,Calvert Vaux Park,9,0,0,0,0,0
53,NTA2020,Brooklyn,BK1401,Flatbush,0,"13,669","13,064",-605,"1,723","-2,328"
54,NTA2020,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,0,"7,776","7,256",-520,883,"-1,403"
55,NTA2020,Brooklyn,BK1403,Midwood,0,"3,402","4,081",679,536,143
56,NTA2020,Brooklyn,BK1501,Gravesend (East)-Homecrest,0,"4,826","5,842","1,016",908,108
57,NTA2020,Brooklyn,BK1502,Madison,0,"2,689","3,217",528,326,202
58,NTA2020,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,0,"5,203","6,148",945,447,498
59,NTA2020,Brooklyn,BK1601,Ocean Hill,0,"5,716","7,714","1,998",529,"1,469"
60,NTA2020,Brooklyn,BK1602,Brownsville,0,"11,639","13,933","2,294","1,178","1,116"
61,NTA2020,Brooklyn,BK1701,East Flatbush-Erasmus,0,"4,207","5,181",974,472,502
62,NTA2020,Brooklyn,BK1702,East Flatbush-Farragut,0,"2,096","2,465",369,140,229
63,NTA2020,Brooklyn,BK1703,East Flatbush-Rugby,0,"1,902","2,690",788,97,691
64,NTA2020,Brooklyn,BK1704,East Flatbush-Remsen Village,0,"2,561","3,320",759,184,575
65,NTA2020,Brooklyn,BK1771,Holy Cross Cemetery,7,1,5,4,0,4
66,NTA2020,Brooklyn,BK1801,Flatlands,0,"5,753","6,016",263,469,-206
67,NTA2020,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,0,"3,583","4,309",726,321,405
68,NTA2020,Brooklyn,BK1803,Canarsie,0,"6,941","7,433",492,446,46
69,NTA2020,Brooklyn,BK1891,Marine Park-Plumb Island,9,0,1,1,0,1
70,NTA2020,Brooklyn,BK1892,McGuire Fields,9,0,0,0,0,0
71,NTA2020,Brooklyn,BK1893,Canarsie Park & Pier,9,0,1,1,0,1
72,NTA2020,Brooklyn,BK5591,Prospect Park,9,0,5,5,0,5
73,NTA2020,Brooklyn,BK5691,Barren Island-Floyd Bennett Field,9,0,3,3,0,3
74,NTA2020,Brooklyn,BK5692,Jamaica Bay (West),9,0,0,0,0,0
75,NTA2020,Brooklyn,BK5693,Shirley Chisholm State Park,9,0,0,0,-1,1
76,NTA2020,Bronx,BX0101,Mott Haven-Port Morris,0,"37,869","38,852",983,"3,736","-2,753"
77,NTA2020,Bronx,BX0102,Melrose,0,"27,094","28,059",965,"2,942","-1,977"
78,NTA2020,Bronx,BX0201,Hunts Point,0,"11,325","10,715",-610,"1,183","-1,793"
79,NTA2020,Bronx,BX0202,Longwood,0,"28,511","28,773",262,"2,667","-2,405"
80,NTA2020,Bronx,BX0291,North & South Brother Islands,9,0,0,0,0,0
81,NTA2020,Bronx,BX0301,Morrisania,0,"17,395","20,576","3,181","2,305",876
82,NTA2020,Bronx,BX0302,Claremont Village-Claremont (East),0,"11,363","12,630","1,267","1,389",-122
83,NTA2020,Bronx,BX0303,Crotona Park East,0,"16,939","18,748","1,809","1,815",-6
84,NTA2020,Bronx,BX0391,Crotona Park,9,0,18,18,7,11
85,NTA2020,Bronx,BX0401,Concourse-Concourse Village,0,"39,009","41,807","2,798","4,886","-2,088"
86,NTA2020,Bronx,BX0402,Highbridge,0,"20,033","21,431","1,398","2,736","-1,338"
87,NTA2020,Bronx,BX0403,Mount Eden-Claremont (West),0,"32,847","34,999","2,152","4,759","-2,607"
88,NTA2020,Bronx,BX0491,Yankee Stadium-Macombs Dam Park,9,0,15,15,9,6
89,NTA2020,Bronx,BX0492,Claremont Park,9,0,1,1,1,0
