Orig Order,GeoType,Borough,GeoID,Name,NTA Type,Pop_10,Pop_20,Pop Change,Natural Change,Net Migration
1,NYC,New York City,0,NYC (adjusted for citywide total population in 2010),,"8,242,624","8,804,190","561,566","612,638","-51,072"
2,Boro,Manhattan,1,Manhattan,,"1,585,873","1,694,251","108,378","81,949","26,429"
3,Boro,Bronx,2,Bronx,,"1,385,108","1,472,654","87,546","114,402","-26,856"
4,Boro,Brooklyn,3,Brooklyn,,"2,504,700","2,736,074","231,374","246,479","-15,105"
5,Boro,Queens,4,Queens,,"2,230,722","2,405,464","174,742","152,976","21,766"
6,Boro,Staten Island,5,Staten Island,,"468,730","495,747","27,017","17,822","9,195"
7,NTA2020,Brooklyn,BK0101,Greenpoint,0,"34,719","38,980","4,261","2,058","2,203"
8,NTA2020,Brooklyn,BK0102,Williamsburg,0,"45,774","64,444","18,670","7,504","11,166"
9,NTA2020,Brooklyn,BK0103,South Williamsburg,0,"42,241","47,703","5,462","16,788","-11,326"
10,NTA2020,Brooklyn,BK0104,East Williamsburg,0,"50,349","52,998","2,649","1,893",756
11,NTA2020,Brooklyn,BK0201,Brooklyn Heights,0,"22,887","25,092","2,205","2,360",-155
12,NTA2020,Brooklyn,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,0,"24,605","40,968","16,363","4,179","12,184"
13,NTA2020,Brooklyn,BK0203,Fort Greene,0,"26,399","32,938","6,539","2,228","4,311"
14,NTA2020,Brooklyn,BK0204,Clinton Hill,0,"24,014","28,647","4,633","1,673","2,960"
15,NTA2020,Brooklyn,BK0261,Brooklyn Navy Yard,6,7,5,-2,1,-3
16,NTA2020,Brooklyn,BK0301,Bedford-Stuyvesant (West),0,"74,491","89,189","14,698","9,328","5,370"
17,NTA2020,Brooklyn,BK0302,Bedford-Stuyvesant (East),0,"77,089","84,653","7,564","4,130","3,434"
18,NTA2020,Brooklyn,BK0401,Bushwick (West),0,"53,577","58,692","5,115","4,921",194
19,NTA2020,Brooklyn,BK0402,Bushwick (East),0,"59,043","62,049","3,006","4,607","-1,601"
20,NTA2020,Brooklyn,BK0471,The Evergreens Cemetery,7,14,6,-8,-2,-6
21,NTA2020,Brooklyn,BK0501,Cypress Hills,0,"41,513","43,256","1,743","4,449","-2,706"
22,NTA2020,Brooklyn,BK0502,East New York (North),0,"39,109","42,818","3,709","3,763",-54
23,NTA2020,Brooklyn,BK0503,East New York-New Lots,0,"47,563","53,004","5,441","3,706","1,735"
24,NTA2020,Brooklyn,BK0504,Spring Creek-Starrett City,0,"13,676","17,038","3,362",-832,"4,194"
25,NTA2020,Brooklyn,BK0505,East New York-City Line,0,"42,017","45,559","3,542","4,308",-766
26,NTA2020,Brooklyn,BK0571,Highland Park-Cypress Hills Cemeteries (South),7,6,7,1,0,1
27,NTA2020,Brooklyn,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,0,"53,756","59,166","5,410","5,826",-416
28,NTA2020,Brooklyn,BK0602,Park Slope,0,"53,502","57,405","3,903","6,743","-2,840"
29,NTA2020,Brooklyn,BK0701,Windsor Terrace-South Slope,0,"22,554","23,622","1,068","2,140","-1,072"
30,NTA2020,Brooklyn,BK0702,Sunset Park (West),0,"52,189","54,473","2,284","5,204","-2,920"
31,NTA2020,Brooklyn,BK0703,Sunset Park (Central),0,"51,806","55,606","3,800","13,258","-9,458"
32,NTA2020,Brooklyn,BK0771,Green-Wood Cemetery,7,5,5,0,0,0
33,NTA2020,Brooklyn,BK0801,Prospect Heights,0,"19,849","23,515","3,666","2,538","1,128"
34,NTA2020,Brooklyn,BK0802,Crown Heights (North),0,"76,961","85,275","8,314","4,831","3,483"
35,NTA2020,Brooklyn,BK0891,Lincoln Terrace Park,9,0,15,15,0,15
36,NTA2020,Brooklyn,BK0901,Crown Heights (South),0,"50,405","50,590",185,"5,757","-5,572"
37,NTA2020,Brooklyn,BK0902,Prospect Lefferts Gardens-Wingate,0,"45,808","49,513","3,705","3,274",431
38,NTA2020,Brooklyn,BK1001,Bay Ridge,0,"80,916","86,779","5,863","5,893",-30
39,NTA2020,Brooklyn,BK1002,Dyker Heights,0,"41,378","46,756","5,378","3,298","2,080"
40,NTA2020,Brooklyn,BK1061,Fort Hamilton,6,764,775,11,137,-126
41,NTA2020,Brooklyn,BK1091,Dyker Beach Park,9,0,9,9,1,8
42,NTA2020,Brooklyn,BK1101,Bensonhurst,0,"96,036","104,934","8,898","7,644","1,254"
43,NTA2020,Brooklyn,BK1102,Bath Beach,0,"29,931","33,070","3,139","2,233",906
44,NTA2020,Brooklyn,BK1103,Gravesend (West),0,"55,669","60,523","4,854","3,297","1,557"
45,NTA2020,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),0,"33,397","35,632","2,235","7,936","-5,701"
46,NTA2020,Brooklyn,BK1202,Borough Park,0,"84,270","93,905","9,635","25,982","-16,347"
47,NTA2020,Brooklyn,BK1203,Kensington,0,"40,472","41,758","1,286","4,463","-3,177"
48,NTA2020,Brooklyn,BK1204,Mapleton-Midwood (West),0,"37,441","39,137","1,696","6,034","-4,338"
49,NTA2020,Brooklyn,BK1301,Gravesend (South),0,"27,400","30,366","2,966","1,108","1,858"
50,NTA2020,Brooklyn,BK1302,Coney Island-Sea Gate,0,"49,715","49,517",-198,"-1,132",934
51,NTA2020,Brooklyn,BK1303,Brighton Beach,0,"31,462","33,568","2,106",339,"1,767"
52,NTA2020,Brooklyn,BK1391,Calvert Vaux Park,9,0,0,0,-2,2
53,NTA2020,Brooklyn,BK1401,Flatbush,0,"67,940","66,503","-1,437","6,001","-7,438"
54,NTA2020,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,0,"42,099","43,016",917,"4,568","-3,651"
55,NTA2020,Brooklyn,BK1403,Midwood,0,"48,988","52,891","3,903","5,524","-1,621"
56,NTA2020,Brooklyn,BK1501,Gravesend (East)-Homecrest,0,"50,437","52,797","2,360","5,586","-3,226"
57,NTA2020,Brooklyn,BK1502,Madison,0,"38,917","41,465","2,548","2,330",218
58,NTA2020,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,0,"64,518","69,084","4,566",971,"3,595"
59,NTA2020,Brooklyn,BK1601,Ocean Hill,0,"31,935","37,952","6,017","2,405","3,612"
60,NTA2020,Brooklyn,BK1602,Brownsville,0,"54,649","60,470","5,821","4,556","1,265"
61,NTA2020,Brooklyn,BK1701,East Flatbush-Erasmus,0,"46,010","47,690","1,680","3,406","-1,726"
62,NTA2020,Brooklyn,BK1702,East Flatbush-Farragut,0,"33,445","34,317",872,"1,827",-955
63,NTA2020,Brooklyn,BK1703,East Flatbush-Rugby,0,"39,331","42,762","3,431","1,990","1,441"
64,NTA2020,Brooklyn,BK1704,East Flatbush-Remsen Village,0,"37,900","39,115","1,215","2,462","-1,247"
65,NTA2020,Brooklyn,BK1771,Holy Cross Cemetery,7,29,32,3,-1,4
66,NTA2020,Brooklyn,BK1801,Flatlands,0,"64,762","67,087","2,325","3,996","-1,671"
67,NTA2020,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,0,"45,231","46,955","1,724","1,806",-82
68,NTA2020,Brooklyn,BK1803,Canarsie,0,"83,693","89,932","6,239","5,200","1,039"
69,NTA2020,Brooklyn,BK1891,Marine Park-Plumb Island,9,0,1,1,4,-3
70,NTA2020,Brooklyn,BK1892,McGuire Fields,9,0,4,4,-1,5
71,NTA2020,Brooklyn,BK1893,Canarsie Park & Pier,9,0,5,5,0,5
