Orig Order,GeoType,Borough,GeoID,Name,NTA Type,ANH_10,ANH_20,Pop Change,Natural Change,Net Migration
1,NYC,New York City,0,NYC (adjusted for citywide total population in 2010),,"1,028,119","1,373,502","345,383","148,946","196,437"
2,Boro,Manhattan,1,Manhattan,,"177,624","219,624","42,000","19,511","22,489"
3,Boro,Bronx,2,Bronx,,"47,335","67,766","20,431","8,012","12,419"
4,Boro,Brooklyn,3,Brooklyn,,"260,129","370,776","110,647","49,274","61,373"
5,Boro,Queens,4,Queens,,"508,334","656,583","148,249","68,698","79,551"
6,Boro,Staten Island,5,Staten Island,,"34,697","58,753","24,056","3,490","20,566"
7,NTA2020,Brooklyn,BK0101,Greenpoint,0,"1,689","2,477",788,285,503
8,NTA2020,Brooklyn,BK0102,Williamsburg,0,"2,227","4,974","2,747",671,"2,076"
9,NTA2020,Brooklyn,BK0103,South Williamsburg,0,77,363,286,12,274
10,NTA2020,Brooklyn,BK0104,East Williamsburg,0,"4,718","5,817","1,099",270,829
11,NTA2020,Brooklyn,BK0201,Brooklyn Heights,0,"2,003","2,282",279,375,-96
12,NTA2020,Brooklyn,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,0,"2,497","7,606","5,109",839,"4,270"
13,NTA2020,Brooklyn,BK0203,Fort Greene,0,"1,924","3,916","1,992",345,"1,647"
14,NTA2020,Brooklyn,BK0204,Clinton Hill,0,"1,363","2,714","1,351",273,"1,078"
15,NTA2020,Brooklyn,BK0261,Brooklyn Navy Yard,6,0,0,0,0,0
16,NTA2020,Brooklyn,BK0301,Bedford-Stuyvesant (West),0,"2,004","4,635","2,631",471,"2,160"
17,NTA2020,Brooklyn,BK0302,Bedford-Stuyvesant (East),0,"1,372","3,311","1,939",355,"1,584"
18,NTA2020,Brooklyn,BK0401,Bushwick (West),0,"3,516","4,458",942,292,650
19,NTA2020,Brooklyn,BK0402,Bushwick (East),0,"1,260","2,944","1,684",152,"1,532"
20,NTA2020,Brooklyn,BK0471,The Evergreens Cemetery,7,0,0,0,0,0
21,NTA2020,Brooklyn,BK0501,Cypress Hills,0,"2,523","2,697",174,349,-175
22,NTA2020,Brooklyn,BK0502,East New York (North),0,648,"1,708","1,060",219,841
23,NTA2020,Brooklyn,BK0503,East New York-New Lots,0,218,636,418,108,310
24,NTA2020,Brooklyn,BK0504,Spring Creek-Starrett City,0,390,424,34,2,32
25,NTA2020,Brooklyn,BK0505,East New York-City Line,0,"5,228","9,337","4,109","1,394","2,715"
26,NTA2020,Brooklyn,BK0571,Highland Park-Cypress Hills Cemeteries (South),7,0,0,0,0,0
27,NTA2020,Brooklyn,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,0,"2,522","3,924","1,402",630,772
28,NTA2020,Brooklyn,BK0602,Park Slope,0,"3,141","4,641","1,500",937,563
29,NTA2020,Brooklyn,BK0701,Windsor Terrace-South Slope,0,"1,786","2,200",414,287,127
30,NTA2020,Brooklyn,BK0702,Sunset Park (West),0,"5,409","7,139","1,730",793,937
31,NTA2020,Brooklyn,BK0703,Sunset Park (Central),0,"26,340","31,444","5,104","10,570","-5,466"
32,NTA2020,Brooklyn,BK0771,Green-Wood Cemetery,7,0,2,2,0,2
33,NTA2020,Brooklyn,BK0801,Prospect Heights,0,"1,316","2,041",725,402,323
34,NTA2020,Brooklyn,BK0802,Crown Heights (North),0,"1,433","3,461","2,028",337,"1,691"
35,NTA2020,Brooklyn,BK0891,Lincoln Terrace Park,9,0,0,0,0,0
36,NTA2020,Brooklyn,BK0901,Crown Heights (South),0,323,931,608,99,509
37,NTA2020,Brooklyn,BK0902,Prospect Lefferts Gardens-Wingate,0,836,"1,610",774,143,631
38,NTA2020,Brooklyn,BK1001,Bay Ridge,0,"10,837","13,662","2,825","1,278","1,547"
39,NTA2020,Brooklyn,BK1002,Dyker Heights,0,"14,271","22,042","7,771","2,734","5,037"
40,NTA2020,Brooklyn,BK1061,Fort Hamilton,6,47,81,34,12,22
41,NTA2020,Brooklyn,BK1091,Dyker Beach Park,9,0,0,0,0,0
42,NTA2020,Brooklyn,BK1101,Bensonhurst,0,"34,364","46,034","11,670","3,804","7,866"
43,NTA2020,Brooklyn,BK1102,Bath Beach,0,"8,953","13,543","4,590","1,223","3,367"
44,NTA2020,Brooklyn,BK1103,Gravesend (West),0,"19,735","26,717","6,982","2,128","4,854"
45,NTA2020,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),0,"16,471","19,480","3,009","5,871","-2,862"
46,NTA2020,Brooklyn,BK1202,Borough Park,0,"6,082","8,166","2,084","1,372",712
47,NTA2020,Brooklyn,BK1203,Kensington,0,"9,491","12,224","2,733","1,672","1,061"
48,NTA2020,Brooklyn,BK1204,Mapleton-Midwood (West),0,"3,252","4,752","1,500",420,"1,080"
49,NTA2020,Brooklyn,BK1301,Gravesend (South),0,"5,205","7,949","2,744",701,"2,043"
50,NTA2020,Brooklyn,BK1302,Coney Island-Sea Gate,0,"2,880","4,193","1,313",277,"1,036"
51,NTA2020,Brooklyn,BK1303,Brighton Beach,0,"3,777","5,462","1,685",720,965
52,NTA2020,Brooklyn,BK1391,Calvert Vaux Park,9,0,0,0,0,0
53,NTA2020,Brooklyn,BK1401,Flatbush,0,"2,193","3,407","1,214",437,777
54,NTA2020,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,0,"7,541","9,288","1,747","1,504",243
55,NTA2020,Brooklyn,BK1403,Midwood,0,"5,133","7,894","2,761",790,"1,971"
56,NTA2020,Brooklyn,BK1501,Gravesend (East)-Homecrest,0,"6,063","9,108","3,045",677,"2,368"
57,NTA2020,Brooklyn,BK1502,Madison,0,"7,340","9,938","2,598",508,"2,090"
58,NTA2020,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,0,"10,135","14,205","4,070",969,"3,101"
59,NTA2020,Brooklyn,BK1601,Ocean Hill,0,199,741,542,65,477
60,NTA2020,Brooklyn,BK1602,Brownsville,0,409,617,208,102,106
61,NTA2020,Brooklyn,BK1701,East Flatbush-Erasmus,0,773,"1,310",537,129,408
62,NTA2020,Brooklyn,BK1702,East Flatbush-Farragut,0,406,827,421,120,301
63,NTA2020,Brooklyn,BK1703,East Flatbush-Rugby,0,269,685,416,37,379
64,NTA2020,Brooklyn,BK1704,East Flatbush-Remsen Village,0,244,251,7,41,-34
65,NTA2020,Brooklyn,BK1771,Holy Cross Cemetery,7,0,6,6,0,6
66,NTA2020,Brooklyn,BK1801,Flatlands,0,"2,577","3,899","1,322",529,793
67,NTA2020,Brooklyn,BK1802,Marine Park-Mill Basin-Bergen Beach,0,"2,521","4,762","2,241",354,"1,887"
68,NTA2020,Brooklyn,BK1803,Canarsie,0,"2,198","1,841",-357,190,-547
69,NTA2020,Brooklyn,BK1891,Marine Park-Plumb Island,9,0,0,0,0,0
70,NTA2020,Brooklyn,BK1892,McGuire Fields,9,0,0,0,0,0
71,NTA2020,Brooklyn,BK1893,Canarsie Park & Pier,9,0,0,0,0,0
72,NTA2020,Brooklyn,BK5591,Prospect Park,9,0,0,0,0,0
73,NTA2020,Brooklyn,BK5691,Barren Island-Floyd Bennett Field,9,0,0,0,0,0
74,NTA2020,Brooklyn,BK5692,Jamaica Bay (West),9,0,0,0,0,0
75,NTA2020,Brooklyn,BK5693,Shirley Chisholm State Park,9,0,0,0,0,0
76,NTA2020,Bronx,BX0101,Mott Haven-Port Morris,0,214,476,262,68,194
77,NTA2020,Bronx,BX0102,Melrose,0,314,426,112,52,60
78,NTA2020,Bronx,BX0201,Hunts Point,0,87,108,21,15,6
79,NTA2020,Bronx,BX0202,Longwood,0,235,294,59,33,26
80,NTA2020,Bronx,BX0291,North & South Brother Islands,9,0,0,0,0,0
81,NTA2020,Bronx,BX0301,Morrisania,0,134,184,50,26,24
82,NTA2020,Bronx,BX0302,Claremont Village-Claremont (East),0,40,69,29,9,20
83,NTA2020,Bronx,BX0303,Crotona Park East,0,191,254,63,37,26
84,NTA2020,Bronx,BX0391,Crotona Park,9,0,0,0,1,-1
85,NTA2020,Bronx,BX0401,Concourse-Concourse Village,0,"1,492","1,730",238,230,8
86,NTA2020,Bronx,BX0402,Highbridge,0,132,247,115,26,89
87,NTA2020,Bronx,BX0403,Mount Eden-Claremont (West),0,607,619,12,93,-81
88,NTA2020,Bronx,BX0491,Yankee Stadium-Macombs Dam Park,9,0,0,0,6,-6
89,NTA2020,Bronx,BX0492,Claremont Park,9,0,0,0,0,0
90,NTA2020,Bronx,BX0501,University Heights (South)-Morris Heights,0,684,854,170,130,40
91,NTA2020,Bronx,BX0502,Mount Hope,0,839,611,-228,118,-346
92,NTA2020,Bronx,BX0503,Fordham Heights,0,400,456,56,75,-19
93,NTA2020,Bronx,BX0601,West Farms,0,133,230,97,21,76
94,NTA2020,Bronx,BX0602,Tremont,0,141,181,40,33,7
95,NTA2020,Bronx,BX0603,Belmont,0,655,738,83,26,57
96,NTA2020,Bronx,BX0701,University Heights (North)-Fordham,0,"2,117","1,661",-456,134,-590
97,NTA2020,Bronx,BX0702,Bedford Park,0,"2,612","2,325",-287,267,-554
98,NTA2020,Bronx,BX0703,Norwood,0,"4,451","6,049","1,598",876,722
99,NTA2020,Bronx,BX0801,Kingsbridge Heights-Van Cortlandt Village,0,"1,687","1,287",-400,123,-523
100,NTA2020,Bronx,BX0802,Kingsbridge-Marble Hill,0,963,923,-40,115,-155
101,NTA2020,Bronx,BX0803,Riverdale-Spuyten Duyvil,0,"2,330","3,092",762,211,551
102,NTA2020,Bronx,BX0901,Soundview-Bruckner-Bronx River,0,"1,954","4,293","2,339",461,"1,878"
103,NTA2020,Bronx,BX0902,Soundview-Clason Point,0,409,769,360,95,265
104,NTA2020,Bronx,BX0903,Castle Hill-Unionport,0,"3,614","7,200","3,586",724,"2,862"
105,NTA2020,Bronx,BX0904,Parkchester,0,"3,721","8,550","4,829","1,253","3,576"
106,NTA2020,Bronx,BX0991,Soundview Park,9,0,0,0,0,0
107,NTA2020,Bronx,BX1001,Westchester Square,0,"2,806","4,878","2,072",638,"1,434"
108,NTA2020,Bronx,BX1002,Throgs Neck-Schuylerville,0,"1,430","2,460","1,030",226,804
109,NTA2020,Bronx,BX1003,Pelham Bay-Country Club-City Island,0,969,"1,807",838,142,696
110,NTA2020,Bronx,BX1004,Co-op City,0,433,490,57,14,43
111,NTA2020,Bronx,BX1071,Hart Island,7,0,0,0,0,0
112,NTA2020,Bronx,BX1091,Ferry Point Park-St. Raymond Cemetery,9,0,0,0,0,0
113,NTA2020,Bronx,BX1101,Pelham Parkway-Van Nest,0,"2,161","2,605",444,361,83
114,NTA2020,Bronx,BX1102,Morris Park,0,"2,928","3,540",612,432,180
115,NTA2020,Bronx,BX1103,Pelham Gardens,0,"2,239","3,399","1,160",334,826
116,NTA2020,Bronx,BX1104,Allerton,0,"1,381","1,688",307,222,85
117,NTA2020,Bronx,BX1161,Hutchinson Metro Center,6,25,3,-22,1,-23
118,NTA2020,Bronx,BX1201,Williamsbridge-Olinville,0,755,"1,216",461,118,343
119,NTA2020,Bronx,BX1202,Eastchester-Edenwald-Baychester,0,430,656,226,73,153
120,NTA2020,Bronx,BX1203,Wakefield-Woodlawn,0,"1,628","1,462",-166,213,-379
121,NTA2020,Bronx,BX1271,Woodlawn Cemetery,7,0,0,0,0,0
122,NTA2020,Bronx,BX2691,Van Cortlandt Park,9,0,4,4,0,4
123,NTA2020,Bronx,BX2791,Bronx Park,9,26,0,-26,0,-26
124,NTA2020,Bronx,BX2891,Pelham Bay Park,9,30,3,-27,1,-28
125,NTA2020,Manhattan,MN0101,Financial District-Battery Park City,0,"8,016","10,813","2,797","1,365","1,432"
126,NTA2020,Manhattan,MN0102,Tribeca-Civic Center,0,"2,585","3,448",863,488,375
127,NTA2020,Manhattan,MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,9,2,2,0,0,0
128,NTA2020,Manhattan,MN0201,SoHo-Little Italy-Hudson Square,0,"7,040","5,860","-1,180",207,"-1,387"
129,NTA2020,Manhattan,MN0202,Greenwich Village,0,"3,370","3,783",413,367,46
