Orig Order,GeoType,Borough,GeoID,Name,NTA Type,WNH_10,WNH_20,Pop Change,Natural Change,Net Migration
1,NYC,New York City,0,NYC (adjusted for citywide total population in 2010),,"2,722,904","2,719,856","-3,048","126,719","-129,767"
2,Boro,Manhattan,1,Manhattan,,"761,493","793,294","31,801","38,086","-6,285"
3,Boro,Bronx,2,Bronx,,"151,209","130,796","-20,413","-8,271","-12,142"
4,Boro,Brooklyn,3,Brooklyn,,"893,306","968,427","75,121","103,482","-28,361"
5,Boro,Queens,4,Queens,,"616,727","549,358","-67,369","-5,932","-61,437"
6,Boro,Staten Island,5,Staten Island,,"300,169","277,981","-22,188",-62,"-22,126"
7,NTA2020,Brooklyn,BK0101,Greenpoint,0,"26,691","27,496",805,"1,349",-544
8,NTA2020,Brooklyn,BK0102,Williamsburg,0,"23,968","36,709","12,741","5,605","7,136"
9,NTA2020,Brooklyn,BK0103,South Williamsburg,0,"36,670","39,714","3,044","16,463","-13,419"
10,NTA2020,Brooklyn,BK0104,East Williamsburg,0,"17,982","20,363","2,381",873,"1,508"
11,NTA2020,Brooklyn,BK0201,Brooklyn Heights,0,"17,210","18,446","1,236","1,853",-617
12,NTA2020,Brooklyn,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,0,"11,771","19,213","7,442","2,865","4,577"
13,NTA2020,Brooklyn,BK0203,Fort Greene,0,"7,497","11,355","3,858","1,490","2,368"
14,NTA2020,Brooklyn,BK0204,Clinton Hill,0,"9,031","12,845","3,814","1,671","2,143"
15,NTA2020,Brooklyn,BK0261,Brooklyn Navy Yard,6,7,1,-6,1,-7
16,NTA2020,Brooklyn,BK0301,Bedford-Stuyvesant (West),0,"13,295","31,481","18,186","6,619","11,567"
17,NTA2020,Brooklyn,BK0302,Bedford-Stuyvesant (East),0,"2,675","14,587","11,912",789,"11,123"
18,NTA2020,Brooklyn,BK0401,Bushwick (West),0,"7,024","16,444","9,420",262,"9,158"
19,NTA2020,Brooklyn,BK0402,Bushwick (East),0,"2,536","11,438","8,902",302,"8,600"
20,NTA2020,Brooklyn,BK0471,The Evergreens Cemetery,7,4,1,-3,0,-3
21,NTA2020,Brooklyn,BK0501,Cypress Hills,0,"1,190","1,170",-20,7,-27
22,NTA2020,Brooklyn,BK0502,East New York (North),0,453,880,427,54,373
23,NTA2020,Brooklyn,BK0503,East New York-New Lots,0,515,983,468,79,389
24,NTA2020,Brooklyn,BK0504,Spring Creek-Starrett City,0,"3,295","2,595",-700,-800,100
25,NTA2020,Brooklyn,BK0505,East New York-City Line,0,802,805,3,-32,35
26,NTA2020,Brooklyn,BK0571,Highland Park-Cypress Hills Cemeteries (South),7,0,0,0,0,0
27,NTA2020,Brooklyn,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,0,"28,888","32,342","3,454","4,240",-786
28,NTA2020,Brooklyn,BK0602,Park Slope,0,"37,909","38,668",759,"5,215","-4,456"
29,NTA2020,Brooklyn,BK0701,Windsor Terrace-South Slope,0,"15,089","15,463",374,"1,513","-1,139"
30,NTA2020,Brooklyn,BK0702,Sunset Park (West),0,"9,497","12,073","2,576",709,"1,867"
31,NTA2020,Brooklyn,BK0703,Sunset Park (Central),0,"5,101","4,509",-592,236,-828
32,NTA2020,Brooklyn,BK0771,Green-Wood Cemetery,7,3,0,-3,0,-3
33,NTA2020,Brooklyn,BK0801,Prospect Heights,0,"9,359","12,672","3,313","1,955","1,358"
34,NTA2020,Brooklyn,BK0802,Crown Heights (North),0,"7,060","18,774","11,714","1,825","9,889"
35,NTA2020,Brooklyn,BK0891,Lincoln Terrace Park,9,0,3,3,0,3
36,NTA2020,Brooklyn,BK0901,Crown Heights (South),0,"12,836","16,111","3,275","4,131",-856
37,NTA2020,Brooklyn,BK0902,Prospect Lefferts Gardens-Wingate,0,"5,882","12,050","6,168","2,199","3,969"
38,NTA2020,Brooklyn,BK1001,Bay Ridge,0,"54,116","51,417","-2,699","2,309","-5,008"
39,NTA2020,Brooklyn,BK1002,Dyker Heights,0,"21,530","16,960","-4,570",-380,"-4,190"
40,NTA2020,Brooklyn,BK1061,Fort Hamilton,6,239,319,80,58,22
41,NTA2020,Brooklyn,BK1091,Dyker Beach Park,9,0,3,3,1,2
42,NTA2020,Brooklyn,BK1101,Bensonhurst,0,"46,138","36,545","-9,593","1,164","-10,757"
43,NTA2020,Brooklyn,BK1102,Bath Beach,0,"16,389","13,227","-3,162",165,"-3,327"
44,NTA2020,Brooklyn,BK1103,Gravesend (West),0,"27,795","22,331","-5,464",-54,"-5,410"
45,NTA2020,Brooklyn,BK1201,Sunset Park (East)-Borough Park (West),0,"8,140","6,959","-1,181",913,"-2,094"
46,NTA2020,Brooklyn,BK1202,Borough Park,0,"68,987","70,239","1,252","23,284","-22,032"
47,NTA2020,Brooklyn,BK1203,Kensington,0,"19,463","17,370","-2,093","1,856","-3,949"
48,NTA2020,Brooklyn,BK1204,Mapleton-Midwood (West),0,"30,549","28,474","-2,075","5,001","-7,076"
49,NTA2020,Brooklyn,BK1301,Gravesend (South),0,"15,499","14,187","-1,312",-184,"-1,128"
50,NTA2020,Brooklyn,BK1302,Coney Island-Sea Gate,0,"26,662","24,811","-1,851","-2,688",837
51,NTA2020,Brooklyn,BK1303,Brighton Beach,0,"21,839","21,647",-192,"-1,147",955
52,NTA2020,Brooklyn,BK1391,Calvert Vaux Park,9,0,0,0,-2,2
53,NTA2020,Brooklyn,BK1401,Flatbush,0,"5,425","9,752","4,327",900,"3,427"
54,NTA2020,Brooklyn,BK1402,Flatbush (West)-Ditmas Park-Parkville,0,"15,835","15,859",24,"1,728","-1,704"
55,NTA2020,Brooklyn,BK1403,Midwood,0,"37,282","35,135","-2,147","3,959","-6,106"
56,NTA2020,Brooklyn,BK1501,Gravesend (East)-Homecrest,0,"38,334","34,806","-3,528","3,861","-7,389"
57,NTA2020,Brooklyn,BK1502,Madison,0,"27,646","25,197","-2,449","1,366","-3,815"
58,NTA2020,Brooklyn,BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,0,"43,944","41,326","-2,618",-841,"-1,777"
59,NTA2020,Brooklyn,BK1601,Ocean Hill,0,439,"2,597","2,158",130,"2,028"
60,NTA2020,Brooklyn,BK1602,Brownsville,0,446,830,384,103,281
61,NTA2020,Brooklyn,BK1701,East Flatbush-Erasmus,0,820,"3,573","2,753",220,"2,533"
62,NTA2020,Brooklyn,BK1702,East Flatbush-Farragut,0,634,799,165,-31,196
63,NTA2020,Brooklyn,BK1703,East Flatbush-Rugby,0,473,"1,145",672,101,571
64,NTA2020,Brooklyn,BK1704,East Flatbush-Remsen Village,0,297,691,394,20,374
65,NTA2020,Brooklyn,BK1771,Holy Cross Cemetery,7,0,0,0,-1,1
